GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.ClassLoaderImpl,93,0,6,0,21,0,9,0,6,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler,208,0,14,0,33,0,9,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,AdaptiveCompiler,31,0,4,0,9,0,5,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.compiler.support,JdkCompiler.JavaFileObjectImpl,61,0,2,0,15,0,8,0,7,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.extension.support,ActivateComparator,266,0,60,0,55,0,33,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.status.support,StatusUtils,78,0,12,0,20,0,8,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.status.support,LoadStatusChecker,79,0,8,0,13,0,6,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.status.support,MemoryStatusChecker,81,0,4,0,8,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,EagerThreadPool,62,0,2,0,10,0,3,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,TaskQueue,55,0,8,0,15,0,8,0,4,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.eager,EagerThreadPoolExecutor,80,0,4,0,24,0,6,0,4,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,UnsafeByteArrayOutputStream,165,0,18,0,33,0,21,0,12,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,StreamUtils,31,0,4,0,8,0,6,0,4,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,UnsafeByteArrayInputStream,187,0,22,0,41,0,25,0,14,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,StreamUtils.new InputStream() {...},197,0,22,0,50,0,18,0,7,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,StreamUtils.new InputStream() {...},168,0,20,0,36,0,19,0,9,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,Bytes,2135,0,130,0,296,0,119,0,54,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,UnsafeStringWriter,134,0,18,0,33,0,22,0,13,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.io,UnsafeStringReader,173,0,22,0,43,0,21,0,10,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.extension.factory,AdaptiveExtensionFactory,56,0,6,0,14,0,5,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.extension.factory,SpiExtensionFactory,22,0,6,0,6,0,5,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.limited,LimitedThreadPool,57,0,4,0,9,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,NamedThreadFactory,87,0,2,0,17,0,7,0,6,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ClassHelper,336,0,38,0,80,0,32,0,13,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,Stack,199,0,20,0,31,0,20,0,10,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,LogUtil,199,0,32,0,58,0,28,0,12,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,StringUtils,1135,0,213,0,245,0,143,0,36,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,LogHelper,155,0,60,0,75,0,45,0,15,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,CollectionUtils.new Comparator() {...},45,0,12,0,14,0,8,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,PojoUtils,1563,0,232,0,330,0,134,0,18,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,UrlUtils,1376,0,280,0,279,0,156,0,16,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,DubboAppender,57,0,2,0,20,0,8,0,7,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,JVMUtil,314,0,32,0,53,0,20,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ConfigUtils,614,0,106,0,145,0,70,0,17,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ConcurrentHashSet,64,0,4,0,15,0,12,0,10,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,Log,174,0,38,0,48,0,30,0,11,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,AtomicPositiveInteger,247,0,18,0,49,0,32,0,23,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,LRUCache,103,0,2,0,29,0,12,0,11,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,Holder,10,0,0,0,4,0,3,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,CompatibleTypeUtils,468,0,122,0,104,0,62,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ReflectUtils,2247,0,406,0,512,0,258,0,46,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,CollectionUtils,402,0,82,0,90,0,55,0,14,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,NetUtils,545,0,100,0,158,0,75,0,25,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ExecutorUtil,142,0,20,0,48,0,17,0,7,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ExecutorUtil.new Runnable() {...},36,0,4,0,11,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,IOUtils,204,0,20,0,46,0,21,0,11,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,ArrayUtils,16,0,6,0,2,0,5,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,PojoUtils.PojoInvocationHandler,113,0,14,0,15,0,9,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.utils,Assert,16,0,4,0,8,0,5,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.cached,CachedThreadPool,63,0,4,0,10,0,4,0,2,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.threadpool.support.fixed,FixedThreadPool,110,0,4,0,19,0,7,0,5,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.jdk,JdkLoggerAdapter,174,0,36,0,52,0,27,0,9,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.jdk,JdkLogger,136,0,0,0,38,0,21,0,21,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.slf4j,Slf4jLoggerAdapter,29,0,0,0,9,0,7,0,7,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.logger.slf4j,Slf4jLogger,331,0,32,0,87,0,38,0,22,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.concurrent,ExecutionList,134,0,12,0,39,0,11,0,5,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.concurrent,ExecutionList.RunnableExecutorPair,12,0,0,0,5,0,1,0,1,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.store.support,SimpleDataStore,84,0,8,0,19,0,9,0,5,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.beanutil,JavaBeanAccessor,45,0,8,0,6,0,7,0,3,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.beanutil,JavaBeanSerializeUtil,1269,0,186,0,290,0,111,0,18,0
dubbo-remoting-zookeeper/dubbo-common,org.apache.dubbo.common.beanutil,JavaBeanDescriptor,297,0,48,0,63,0,52,0,28,0
